MEASUREMENT	TDC 1	CH	TDC 2	CH	MEAN	RMS	NOTE
		c008	5 	c004	5 	0.740	0.015
		c008	7 	c004	7 	0.762	0.016
		c008	9 	c004	9 	0.356	0.016
		c008	11	c004	11	0.451	0.015
		c008	13	c004	13	0.433	0.015
		c008	15	c004	15	0.594	0.015
		c008	17	c004	17	0.323	0.015
		c008	19	c004	19	0.391	0.015
		c008	21	c004	21	0.416	0.016
		c008	23	c004	23	0.273	0.020
		c008	25	c004	25	0.172	0.014
		c008	27	c004	27	0.203	0.016
		c008	29	c004	29	0.193	0.014
		c008	31	c004	31	0.240	0.014

10		c008	0 	c004	0 	3.081	0.017
		c008	1 	c004	1 	5.534	0.017
		c008	3 	c004	3 	5.632	0.016
		c008	5 	c004	5 	5.737	0.016
		c008	7 	c004	7 	5.760	0.016
		c008	9 	c004	9 	5.355	0.017
		c008	11	c004	11	5.450	0.015
		c008	13	c004	13	5.427	0.015
		c008	15	c004	15	5.590	0.016
		c008	17	c004	17	5.322	0.015
		c008	19	c004	19	5.391	0.016
		c008	21	c004	21	5.416	0.017
		c008	23	c004	23	5.274	0.021
		c008	25	c004	25	5.174	0.015
		c008	27	c004	27	5.202	0.016
		c008	29	c004	29	5.193	0.014
		c008	31	c004	31	5.239	0.015
